number	author	recipient	date	datefrom	dateto	title	source	
1	KOIDULA	KREUTZWALD	1867-11-07			1. KOIDULA KREUTZWALDILE	EKM EKLA, f 63, m 1:2, l. 1	
2	KREUTZWALD	KOIDULA	1867-11-12			2. KREUTZWALD KOIDULALE	EKM EKLA, f 59, m 1:6, l. 1	
3	KOIDULA	KREUTZWALD	1867-12-12			3. KOIDULA KREUTZWALDILE	EKM EKLA, f 63, m 1:2, l. 2	
4	KREUTZWALD	KOIDULA	1867-12-17			4. KREUTZWALD KOIDULALE	EKM EKLA, f 59, m 1:6, l. 2	
5	KOIDULA	KREUTZWALD	1868-01-01			5. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 3	
6	KOIDULA	KREUTZWALD	1868-01-03			6. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 4	
7	KREUTZWALD	KOIDULA	1868-01-07			7. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 3	
8	KREUTZWALD	KOIDULA	1868-01	1868-01-10	1868-01-20	8. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 4	
9	KOIDULA	KREUTZWALD	1868-01-23			9. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 5	
10	KREUTZWALD	KOIDULA	1868-01-29			10. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 5	
11	KOIDULA	KREUTZWALD	1868-02-05			11. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 6	
12	KREUTZWALD	KOIDULA	1868-02-11			12. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 6	
13	KOIDULA	KREUTZWALD	1868-02-14			13. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 7	
14	KREUTZWALD	KOIDULA	1868-02-25			14. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 7	
15	KOIDULA	KREUTZWALD	1868-03-04			15. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 8	
16	KREUTZWALD	KOIDULA	1868-03-17			16. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 8	
17	KREUTZWALD	KOIDULA	1868-03-17			17. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 9	
18	KOIDULA	KREUTZWALD	1868-03-29			18. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 10	
19	KREUTZWALD	KOIDULA	1868-04-14			19. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 10	
20	KREUTZWALD	KOIDULA	1868-04-21			20. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 11	
21	KREUTZWALD	KOIDULA	1868-05-05			21. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 12	
22	KOIDULA	KREUTZWALD	1868-05-06			22. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 11	
23	KOIDULA	KREUTZWALD	1868-05-05			23. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 12	
24	KOIDULA	KREUTZWALD	1868-05-11			24. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 13	
25	KREUTZWALD	KOIDULA	1868-05-13			25. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 13	
26	KREUTZWALD	KOIDULA	1868-05-19			26. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 14	
27	KREUTZWALD	KOIDULA	1868-05-21			27. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 15	
28	KOIDULA	KREUTZWALD	1868-05-23			28. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 14	
29	KOIDULA	KREUTZWALD	1868-05-24			29. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 15	
30	KREUTZWALD	KOIDULA	1868-05-27			30. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 16	
31	KOIDULA	KREUTZWALD	1868-06-03			31. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 16	
32	KREUTZWALD	KOIDULA	1868-06-09			32. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 17	
33	KOIDULA	KREUTZWALD	1868-06-14			33. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 17	
34	KREUTZWALD	KOIDULA	1868-06-23			34. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 18	
35	KOIDULA	KREUTZWALD	1868-06-28			35. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 18	
36	KREUTZWALD	KOIDULA	1868-06-30			36. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 19	
37	KOIDULA	KREUTZWALD	1868-07	1868-07-01	1868-07-10	37. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 19	
38	KREUTZWALD	KOIDULA	1868-07-15	1868-07-10	1868-07-15	38. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 20	
39	KREUTZWALD	KOIDULA	1868-07	1868-07-15	1868-07-31	39. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 21	
40	KOIDULA	KREUTZWALD	1868-08	1868-08-20	1868-08-31	40. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 20	
41	KREUTZWALD	KOIDULA	1868-09-02			41. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 22	
42	KREUTZWALD	KOIDULA	1868-09-27			42. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 23	
43	KREUTZWALD	KOIDULA	1868-10-14			43. KREUTZWALD KOIDULALE.	EKLA, f 112, m 27:21	
44	KREUTZWALD	KOIDULA	1868-11-03			44. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 24	
45	KREUTZWALD	KOIDULA	1869-04-27			45. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 25	
46	KOIDULA	KREUTZWALD	1869-05-01			46. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 21	
47	KREUTZWALD	KOIDULA	1869-06-15			47. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 26	
48	KOIDULA	KREUTZWALD	1869-07-01			48. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 22	
49	KREUTZWALD	KOIDULA	1869-07-07	1869-07-07	1869-08-10	49. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 27	
50	KOIDULA	KREUTZWALD	1869-08-25			50. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 24	
51	KREUTZWALD	KOIDULA	1869-10-01			51. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 28	
52	KOIDULA	KREUTZWALD	1869-10-17			52. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 25	
53	KREUTZWALD	KOIDULA	1869-10-22			53. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 29	
54	KOIDULA	KREUTZWALD	1869-10-23			54. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 32	
55	KOIDULA	KREUTZWALD	1869-10-30	1869-10-30	1869-11-02	55. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 26	
56	KREUTZWALD	KOIDULA	1869-11-30			56. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 30	
57	KOIDULA	KREUTZWALD	1869-12-11	1869-12-11	1869-12-12	57. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 27	
58	KREUTZWALD	KOIDULA	1869-12-13			58. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 31	
59	KOIDULA	KREUTZWALD	1869-12-16			59. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 28	
60	KREUTZWALD	KOIDULA	1870-01-17			60. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 32	
61	KOIDULA	KREUTZWALD	1870-02-09			61. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 29	
62	KOIDULA	KREUTZWALD	1870-02-21			62. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 30	
63	KREUTZWALD	KOIDULA	1870-02-24			63. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 33	
64	KOIDULA	KREUTZWALD	1870-02-25			64. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 31	
65	KREUTZWALD	KOIDULA	1870-03-15			65. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 34	
66	KOIDULA	KREUTZWALD	1870-03-30			66. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 33	
67	KREUTZWALD	KOIDULA	1870-04-08			67. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 35	
68	KOIDULA	KREUTZWALD	1870-05-02			68. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 34	
69	KOIDULA	KREUTZWALD	1870-05-09			69. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 35	
70	KREUTZWALD	KOIDULA	1870-05-17			70. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 36	
71	KOIDULA	KREUTZWALD	1870-05-20			71. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 36	
72	KOIDULA	KREUTZWALD	1870-07-02			72. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 37	
73	KREUTZWALD	KOIDULA	1870-07-19			73. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 37	
74	KOIDULA	KREUTZWALD	1870-08-17			74. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 38	
75	KREUTZWALD	KOIDULA	1870-11-11			75. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 38	
76	KOIDULA	KREUTZWALD	1870-12-03			76. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 39	
77	KREUTZWALD	KOIDULA	1870-12-06			77. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 39	
78	KOIDULA	KREUTZWALD	1870-12-07			78. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 40	
79	KOIDULA	KREUTZWALD	1871-01	1871-01-01	1871-01-10	79. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 41	
80	KREUTZWALD	KOIDULA	1871-02-16			80. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 40	
81	KOIDULA	KREUTZWALD	1871-02-19			81. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 42	
82	KREUTZWALD	KOIDULA	1871-03-28			82. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 41	
83	KOIDULA	KREUTZWALD	1871-06-04			83. KOIDULA KREUTZWALDILE.	EKM EKLA, f 63, m 1:2, l. 43	
84	KREUTZWALD	KOIDULA	1871-08-08			84. KREUTZWALD KOIDULALE.	EKM EKLA, f 59, m 1:6, l. 42	
